CH4 PLUG,,CO2 PLUG,,H2OPLUG,,CO PLUG,,CH4 B-L,,CO2 B-L,,H2O B-L,,CO B-L,,CH4 N-S,,CO2 N-S,,H2O N-S,,CO N-S,
0.9703389831,0.0160703812,0.9703389831,0.0018181818,1.0338983051,0.003668485,0.8857446056,2.82045574395164E-05,1.0084745763,0.0160720588,0.9830508475,0.0010269521,1.0593220339,0.0012942368,0.9393629103,1.69439031519787E-06,0.9737097376,0.0163529412,0.9747543838,0.0025882353,1.0117647059,0.0013529412,0.9119952339,3.3041136519565E-06
1.0466101695,0.014402182,1.0593220339,0.0041094861,1.1101694915,0.0063991128,1.2276730028,2.13116418161811E-05,1.2245762712,0.0145859635,1.2881355932,0.0053512227,1.2627118644,0.0049102217,1.086924953,3.42408636173936E-06,1.1368983957,0.0143235294,1.2065166024,0.0066470588,1.2050242507,0.0048823529,1.0489453205,5.40716562057501E-06
1.1228813559,0.0131738655,1.0720338983,0.0062214822,1.1991525424,0.0099220886,1.5283823283,1.39892162389307E-05,1.5042372881,0.0124868284,1.5296610169,0.0098486505,1.5296610169,0.0082650728,1.3276488001,5.22464854243599E-06,1.4649172988,0.0122058824,1.4130580774,0.0108823529,1.3985076483,0.0086764706,1.379479828,7.42668116588416E-06
1.2627118644,0.0114204856,1.1483050847,0.0087761569,1.2881355932,0.0134450644,1.828421425,9.51121899067287E-06,1.9237288136,0.0104818207,1.7711864407,0.0140821487,1.7711864407,0.0122346414,1.8191499265,7.17938066015864E-06,1.8055465738,0.01,1.6321353066,0.0149411765,1.6808605895,0.0125588235,1.8733267552,9.02386416452305E-06
1.3644067797,0.0097534047,1.1737288136,0.0121203837,1.3516949153,0.0158232268,2.1583974084,6.24381304987957E-06,2.2923728814,0.0083865997,2.0381355932,0.0171730702,2.0127118644,0.0154124211,2.2428462383,7.44548872352877E-06,2.1972888944,0.0082352941,1.9144136301,0.0187352941,2.0009700286,0.0160882353,2.5185336883,8.42711794121019E-06
1.5169491525,0.0078246309,1.2372881356,0.0145865227,1.4661016949,0.0189954148,2.5043471785,3.82075836605003E-06,2.75,0.0067351757,2.2796610169,0.0212306153,2.343220339,0.0189460212,2.9026865005,6.95341820820951E-06,2.6146996642,0.0068235294,2.2348215396,0.0226176471,2.3593582888,0.0198823529,3.2971161544,7.21053260427901E-06
1.6440677966,0.0061586684,1.3516949153,0.0174068045,1.5805084746,0.0212878374,2.8788933778,2.42188106721879E-06,3.2838983051,0.0048231771,2.5720338983,0.0252024206,2.75,0.0223949998,3.7853778415,5.45068567742021E-06,3.0446461883,0.0052352941,2.6315632384,0.0267647059,2.7804999378,0.0228823529,4.0178355333,5.95545332246858E-06
1.8601694915,0.0046725732,1.3898305085,0.0204876609,1.7203389831,0.024021261,3.2541098058,1.48214170831829E-06,3.8686440678,0.0037931806,2.8771186441,0.0286469258,3.0805084746,0.0252247875,4.565970994,0.000004197,3.6397960453,0.004,3.0658375824,0.0302941176,3.3031961199,0.0259705882,4.7252620408,4.58470125791099E-06
2.063559322,0.0035378249,1.4661016949,0.0231303121,1.8601694915,0.0266667081,3.6153631337,8.75672487576631E-07,4.5042372881,0.0025894677,3.2203389831,0.0313892962,3.4745762712,0.0273535588,5.3485748329,2.90824358229558E-06,4.2731501057,0.0029411765,3.4997388385,0.0333823529,3.8638726527,0.0289705882,5.5500902947,3.46914967144505E-06
2.2796610169,0.0026675655,1.5550847458,0.0255095929,2.0889830508,0.0290521398,3.9613129038,5.35847719350403E-07,5.1398305085,0.0020015905,3.6144067797,0.0342218798,3.906779661,0.0296599607,6.1162102284,2.05085831581072E-06,4.9066534013,0.0020588235,4.021987315,0.0359411765,4.5253575426,0.0311764706,6.331353676,0.000002579
2.5084745763,0.0020617948,1.6822033898,0.028506387,2.343220339,0.0313507133,4.366801333,3.11111492170935E-07,5.6737288136,0.0014972166,4.1355932203,0.0369720786,4.4406779661,0.0316189299,6.9277456109,1.44642656712249E-06,5.5532147743,0.0016176471,4.7348837209,0.0389411765,5.1989304813,0.0326764706,7.1282557295,1.81881334992384E-06
2.7245762712,0.001455465,1.7966101695,0.0311507157,2.6228813559,0.0331225459,4.7875933201,1.74398608586982E-07,6.2584745763,0.0011710324,4.6694915254,0.0391070008,5.0889830508,0.0334069785,7.740621451,9.50877292642683E-07,6.2377564979,0.0010882353,5.5737346101,0.0408823529,5.8723541848,0.034,8.0864595163,0.000001261
2.9661016949,0.0012021597,1.9745762712,0.034237723,3.0423728814,0.0349005294,5.2080501927,9.94954312852497E-08,6.843220339,0.0009328247,5.2288135593,0.0407151822,5.686440678,0.0344010015,8.5684657346,6.14239892447726E-07,6.9605770427,0.0008235294,6.4757119761,0.0424705882,6.5198855864,0.0347058824,8.9132984566,8.58647490820969E-07
3.2203389831,0.0009494135,2.1271186441,0.0364438466,3.4110169492,0.0357965108,5.6730772811,5.48091152639302E-08,7.4152542373,0.0007820344,5.9279661017,0.0424174909,6.2584745763,0.0352179532,9.3963100181,3.9678163354351E-07,7.6580276085,0.0005588235,7.2756871036,0.0434411765,7.1800273598,0.0353235294,9.5472232048,6.72591223768077E-07
3.3983050847,0.0006053358,2.3686440678,0.0390937671,3.843220339,0.0363433819,6.048963938,3.23834701748191E-08,7.9237288136,0.0008044013,6.5381355932,0.0433240966,6.8559322034,0.0358600701,9.825033046,3.16126111254578E-07,,,8.1132694938,0.0438823529,7.8146499192,0.0357647059,9.8119635842,6.27413219315547E-07
3.6398305085,0.00061596,2.6101694915,0.0407759456,4.2627118644,0.0365377877,6.4394839238,1.91343007818941E-08,,,7.186440678,0.0437924971,7.4661016949,0.0365027462,,,,,8.8748165651,0.0444117647,8.4365128715,0.0361176471,,
3.8813559322,0.0006265843,2.8389830508,0.0419297058,4.656779661,0.0369070282,6.7544914639,1.27832372847105E-08,,,7.6949152542,0.0442547468,8.1144067797,0.0367951936,,,,,9.54727024,0.0445882353,9.0328566099,0.0362941176,,
4.1228813559,0.0004612555,3.1313559322,0.0429103087,5.1144067797,0.0370151349,,,,,8.2669491525,0.0446318157,8.6483050847,0.0370826085,,,,,9.9278199229,0.0445882353,9.5148862082,0.0362941176,,
4.3516949153,0.0004713206,3.4237288136,0.0435390054,5.5338983051,0.0368576346,,,,,8.8262711864,0.0450083255,9.2076271186,0.0371072121,,,,,,,9.9843054346,0.0363823529,,
,,3.7796610169,0.0443464511,6.0296610169,0.0370553954,,,,,9.436440678,0.0452111188,9.7415254237,0.0371306974,,,,,,,,,,
,,4.1483050847,0.0447145733,6.4110169492,0.036984194,,,,,9.9194915254,0.0452323674,,,,,,,,,,,,
,,4.4279661017,0.0448148516,6.8559322034,0.0371797182,,,,,,,,,,,,,,,,,,
,,4.7711864407,0.0448299493,7.2881355932,0.0371987301,,,,,,,,,,,,,,,,,,
,,5.1016949153,0.0450204409,7.7076271186,0.0372171828,,,,,,,,,,,,,,,,,,
,,5.406779661,0.0452098141,8.1398305085,0.0372361946,,,,,,,,,,,,,,,,,,
,,5.7118644068,0.0452232343,8.5847457627,0.0372557657,,,,,,,,,,,,,,,,,,
,,6.0550847458,0.0452383319,9.0805084746,0.0371895969,,,,,,,,,,,,,,,,,,
,,6.3347457627,0.0452506337,9.5254237288,0.0372971445,,,,,,,,,,,,,,,,,,
,,6.6652542373,0.0453531488,9.906779661,0.0372259431,,,,,,,,,,,,,,,,,,
,,6.9830508475,0.0452791515,,,,,,,,,,,,,,,,,,,,
,,7.313559322,0.0453816666,,,,,,,,,,,,,,,,,,,,
,,7.6059322034,0.045306551,,,,,,,,,,,,,,,,,,,,
,,7.936440678,0.0453210895,,,,,,,,,,,,,,,,,,,,
,,8.2923728814,0.0454247229,,,,,,,,,,,,,,,,,,,,
,,8.6228813559,0.0452633083,,,,,,,,,,,,,,,,,,,,
,,8.9788135593,0.0452789652,,,,,,,,,,,,,,,,,,,,
,,9.2711864407,0.0452038496,,,,,,,,,,,,,,,,,,,,
,,9.563559322,0.0452167106,,,,,,,,,,,,,,,,,,,,
,,9.906779661,0.0452318082,,,,,,,,,,,,,,,,,,,,
